timestamp,side,quantity,fill_price,fee,reason,cash_after,shares_after,equity_after
2024-01-03,BUY,249.75896494940366,100.14655532011453,1.0,signal,74986.5,249.75896494940366,99986.5
2024-01-04,SELL,249.75896494940366,101.01747444228626,1.0,signal,100215.51985850825,0.0,100215.51985850825
2024-01-07,BUY,255.60003537208985,98.06887103172323,1.0,signal,75148.11295389888,255.60003537208985,100201.99291852594
2024-01-08,BUY,0.5157027785285209,97.78815615299993,1.0,signal,75096.68333006359,256.11573815061837,100129.25284082172
2024-01-09,SELL,0.027971830650415086,97.70331087074582,1.0,signal,75098.41627052925,256.08776631996795,100131.55548309028
2024-01-10,SELL,256.08776631996795,96.89916970358581,1.0,signal,99912.10819818005,0.0,99912.10819818005
2024-01-11,BUY,255.32260048540923,97.87819807396136,1.0,signal,74920.59213511026,255.32260048540923,99898.61918465527
2024-01-12,SELL,1.568655853671828,98.57023072405168,1.0,signal,75074.21490453332,253.7539446317374,100099.31232273101
2024-01-13,SELL,253.7539446317374,98.6648884042037,1.0,signal,100109.81953375018,0.0,100109.81953375018
2024-03-13,BUY,243.75459903370773,102.72613813295312,1.0,signal,75068.85092287092,243.75459903370773,100096.30580630846
2024-03-14,SELL,0.991411781628301,103.16445394509643,1.0,signal,75170.12937795733,242.76318725207943,100227.18955887976
2024-03-15,SELL,0.31594092604689195,103.34233601417444,1.0,signal,75201.7794512975,242.44724632603254,100269.37804613108
2024-03-16,SELL,1.3031659829136686,104.08690240970806,1.0,signal,75336.42196178468,241.14408034311887,100448.91856744053
2024-03-17,SELL,241.14408034311887,103.67341443539577,1.0,signal,100335.65214183922,0.0,100335.65214183922
2024-03-18,BUY,241.37519424503418,103.97280081109182,1.0,signal,75238.19714986169,241.37519424503418,100322.1101853215
2024-03-19,SELL,241.37519424503418,104.54983437011032,1.0,signal,100472.93372923322,0.0,100472.93372923322
2024-03-26,BUY,244.42199648043206,102.81722967202904,1.0,signal,75341.14118020877,244.42199648043206,100459.37461251707
2024-03-27,BUY,0.7759209297063023,102.36544835871855,1.0,signal,75260.71368634846,245.19791741013836,100347.96481309795
2024-03-28,SELL,0.08065218970403976,102.30658988511075,1.0,signal,75267.96493684385,245.11726522043432,100357.62129168818
2024-03-29,SELL,0.9366149473956682,102.82911737478952,1.0,signal,75363.27622520458,244.18065027303865,100484.71769351745
2024-03-30,SELL,0.8710937392964127,103.3191301771168,1.0,signal,75452.27687265142,243.30955653374224,100603.38417114694
2024-03-31,SELL,243.30955653374224,104.03759602308867,1.0,signal,100764.61822386575,0.0,100764.61822386575
2024-04-06,BUY,254.198349422252,99.14993622314267,1.0,signal,75559.86809062133,254.198349422252,100751.02264658776
2024-04-07,BUY,1.8274222989752218,98.19091161045542,1.0,signal,75379.43182918767,256.0257717212272,100506.27233001491
2024-04-08,SELL,0.8244819359083806,98.51434721251492,1.0,signal,75459.65512889219,255.20128978531883,100613.22038251153
2024-04-09,BUY,1.68781233144162,97.74957546124335,1.0,signal,75293.67219003552,256.88910211676045,100391.92373679546
2024-04-11,SELL,1.865823063181324,98.60538462042334,1.0,signal,75476.65239081417,255.02327905357913,100635.90053312504
2024-04-12,BUY,0.6233031027801132,98.38200361407581,1.0,signal,75414.33058270378,255.64658215635924,100552.78432546547
2024-04-13,SELL,1.462987133311941,99.03801325135383,1.0,signal,75558.2219217993,254.1835950230473,100744.65338970257
2024-04-14,SELL,254.1835950230473,98.14308825368408,1.0,signal,100503.58492078492,0.0,100503.58492078492
2024-04-20,BUY,260.51006961591634,96.49707289769749,1.0,signal,75364.1257424736,260.51006961591634,100490.02197266983
2024-04-21,SELL,0.5567737776273134,96.65872284067432,1.0,signal,75416.94278473023,259.953295838289,100556.266020301
2024-04-22,BUY,1.1034652784027799,96.20958420204187,1.0,signal,75309.7788491137,261.0567611166918,100413.38948396497
2024-04-24,BUY,2.606959218581494,94.94406780756069,1.0,signal,75061.26353629316,263.6637203352733,100082.05928032706
